GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mavenproject,com.mycompany.mavenproject,GamePanel,87,83,4,4,22,26,9,8,7,6
mavenproject,com.mycompany.mavenproject,Main,34,0,0,0,10,0,2,0,2,0
